City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kerugoya,100,KE,1640318605,83,-0.4989,37.2803,58.28,3.09
Grindavik,0,IS,1640318608,47,63.8424,-22.4338,34.27,5.75
Elizabeth City,1,US,1640318609,87,36.2946,-76.2511,39.22,6.11
Ponta do Sol,53,PT,1640318610,76,32.6667,-17.1,62.13,9.33
Salekhard,90,RU,1640318611,100,66.53,66.6019,-20.69,2.93
Sangmélima,100,CM,1640318612,69,2.9333,11.9833,68.92,1.88
Port Lincoln,78,AU,1640318416,61,-34.7333,135.8667,69.3,15.5
Camargo,94,MX,1640318615,25,27.6667,-105.1667,66.52,7.72
Lewistown,90,US,1640318616,77,40.5992,-77.5714,35.58,0.0
Kitimat,100,CA,1640318416,74,54.0524,-128.6534,15.91,1.01
Weihai,100,CN,1640318618,73,37.5017,122.1136,24.57,28.59
Kurmanayevka,91,RU,1640318619,100,52.5093,52.0675,-16.53,6.38
Taldan,70,RU,1640318620,56,53.6667,124.8,-10.73,9.06
Manggar,98,ID,1640318622,66,-2.8833,108.2667,85.93,1.03
Ponta Delgada,40,PT,1640318623,72,37.7333,-25.6667,63.32,21.85
Dauriya,7,RU,1640318624,70,49.9333,116.8667,-14.3,8.25
Chokurdakh,100,RU,1640318625,100,70.6333,147.9167,-33.38,3.87
Tuatapere,36,NZ,1640318626,57,-46.1333,167.6833,58.82,10.74
Caucayá,99,CO,1640318628,73,-0.1934,-74.7819,79.14,0.13
Nome,10,US,1640318629,82,64.5011,-165.4064,-12.84,4.68
Cefalù,1,IT,1640318630,69,38.0386,14.0229,51.55,1.99
Ostrovnoy,99,RU,1640318631,92,68.0531,39.5131,15.87,10.63
Macklin,100,CA,1640318632,95,52.3334,-109.9348,4.17,18.57
Roebourne,0,AU,1640318633,22,-20.7833,117.1333,101.48,11.27
Pemangkat,53,ID,1640318636,71,1.1667,108.9667,83.21,5.21
Tilichiki,100,RU,1640318637,96,60.4667,166.1,-2.27,12.21
Springbok,0,ZA,1640318638,78,-29.6643,17.8865,58.44,2.42
Los Llanos de Aridane,20,ES,1640318639,82,28.6585,-17.9182,60.55,7.0
Laureles,1,US,1640318640,68,26.1092,-97.4941,69.06,3.0
San Lazaro,0,BZ,1640318641,79,18.0387,-88.6622,63.05,0.51
Pedernales,17,DO,1640318643,73,18.0384,-71.744,77.07,1.39
Tecuala,79,MX,1640318644,76,22.3986,-105.4569,64.87,2.86
La Romana,58,DO,1640318645,90,18.4273,-68.9728,76.73,2.26
Taitung City,40,TW,1640318514,65,22.7583,121.1444,79.07,4.61
Laguna,90,US,1640318647,93,38.421,-121.4238,55.22,4.0
Hannibal,1,US,1640318648,81,39.7084,-91.3585,52.34,5.75
Caravelas,100,BR,1640318651,96,-17.7125,-39.2481,74.37,6.89
Arraial do Cabo,47,BR,1640318652,82,-22.9661,-42.0278,72.79,23.49
Fortuna,90,US,1640318584,96,40.5982,-124.1573,45.93,3.44
Trincomalee,99,LK,1640318654,62,8.5711,81.2335,79.97,10.63
Nanortalik,100,GL,1640318655,59,60.1432,-45.2371,30.25,13.24
Fort Saint James,100,CA,1640318656,99,54.4333,-124.25,-1.14,2.17
Pocatello,90,US,1640318422,86,42.8713,-112.4455,34.86,5.99
Kamenka,31,RU,1640318658,97,51.3223,42.7678,-3.24,7.4
Kununurra,75,AU,1640318660,70,-15.7667,128.7333,85.98,16.11
La Plaine,76,DM,1640318661,80,15.3333,-61.25,76.46,9.64
Yining,100,CN,1640318662,63,29.0361,114.5636,50.52,5.77
Aranos,0,NA,1640318663,27,-24.1333,19.1167,66.47,10.16
Lālmohan,0,BD,1640318664,56,22.3384,90.7419,69.31,5.93
Hamilton,100,US,1640318415,53,39.1834,-84.5333,52.57,11.07
Gloversville,99,US,1640318666,73,43.0528,-74.3438,23.94,2.42
Windsor Locks,90,US,1640318668,60,41.9293,-72.6273,28.99,0.0
Yulara,99,AU,1640318669,23,-25.2406,130.9889,93.16,2.89
Brooks,100,CA,1640318415,82,50.5834,-111.8851,6.04,16.35
Abu Dhabi,0,AE,1640318401,82,24.4667,54.3667,70.97,11.9
Santa Lucía,20,ES,1640318672,82,27.9117,-15.5407,54.72,4.61
Kwang Binh,80,VN,1640318673,81,17.4833,106.6,72.52,6.91
Pemberton,100,CA,1640318415,96,50.3164,-122.8027,26.47,3.36
Yugo-Kamskiy,100,RU,1640318675,96,57.7053,55.5894,-9.38,7.72
Labuhan,100,ID,1640318676,66,-6.8844,112.2051,85.62,9.73
Nemours,100,FR,1640318678,98,48.2751,2.6908,48.65,7.47
Umm Kaddadah,0,SD,1640318679,23,13.6017,26.6876,59.54,15.75
Tananger,75,NO,1640318680,92,58.9333,5.6,35.33,2.3
Itarema,100,BR,1640318681,81,-2.9248,-39.9167,79.54,10.27
Zinder,6,NE,1640318404,19,13.8072,8.9881,59.88,10.71
Luleå,90,SE,1640318683,79,65.5842,22.1547,21.27,12.66
Isla Vista,90,US,1640318685,76,34.4133,-119.861,58.35,3.44
Yar-Sale,54,RU,1640318686,95,66.8333,70.8333,-8.55,7.0
Aitape,98,PG,1640318687,67,-3.1374,142.3475,85.89,9.66
Ballina,76,AU,1640318688,78,-28.8667,153.5667,82.58,7.81
Katobu,95,ID,1640318689,71,-4.9408,122.5276,84.65,5.79
Puerto Madryn,52,AR,1640318690,33,-42.7692,-65.0385,81.0,19.86
Brumado,100,BR,1640318693,97,-14.2036,-41.6653,70.65,2.44
Saint-François,100,FR,1640318695,94,46.4154,3.9054,36.41,2.3
Dawlatabad,0,AF,1640318696,50,36.4141,64.9053,44.6,2.21
Alofi,16,NU,1640318697,69,-19.0595,-169.9187,79.63,6.78
Vanimo,100,PG,1640318698,64,-2.6741,141.3028,86.88,11.18
Sakakah,100,SA,1640318700,64,29.9697,40.2064,49.23,1.23
Khonsa,1,IN,1640318701,51,27.0167,95.5667,62.29,3.44
Monster,90,NL,1640318702,77,52.0258,4.175,50.95,10.0
Houma,30,US,1640318705,91,29.5958,-90.7195,57.2,4.0
Kamsack,100,CA,1640318706,95,51.5667,-101.9009,13.41,12.33
Shelburne,100,CA,1640318417,93,44.0787,-80.2041,27.12,8.08
Dingle,94,PH,1640318709,68,10.9995,122.6711,83.61,13.67
Yaan,98,NG,1640318710,27,7.3833,8.5667,74.43,4.59
Curup,97,ID,1640318711,77,-3.4667,102.5333,78.22,2.19
Nouadhibou,0,MR,1640318712,65,20.931,-17.0347,67.03,10.42
Te Anau,11,NZ,1640318713,34,-45.4167,167.7167,65.48,5.28
Kahului,40,US,1640318653,65,20.8947,-156.47,73.85,13.8
Darnah,13,LY,1640318715,77,32.767,22.6367,55.85,5.55
Krasnoarmeysk,56,RU,1640318717,96,51.0239,45.6969,0.16,9.35
Ginir,97,ET,1640318718,53,7.1333,40.7,57.72,2.75
San Vicente,39,AR,1640318719,58,-26.6167,-54.1333,62.58,5.06
Sibu,46,MY,1640318720,70,2.3,111.8167,85.96,1.34
Chekhov,88,RU,1640318722,92,55.1431,37.4711,11.95,12.77
Cayenne,90,GF,1640318724,91,4.9333,-52.3333,76.08,4.0
Abonnema,62,NG,1640318725,84,4.7084,6.7931,77.41,4.34
Tucumcari,1,US,1640318726,26,35.1717,-103.725,58.84,14.97
San Cristobal,90,VE,1640318727,96,7.7669,-72.225,69.98,2.21
Camocim,98,BR,1640318729,82,-2.9022,-40.8411,79.29,9.6
Olutanga,16,PH,1640318731,69,7.3106,122.8464,81.88,2.98
Zhuhai,20,CN,1640318732,83,22.2769,113.5678,71.69,6.91
São Filipe,0,CV,1640318733,70,14.8961,-24.4956,73.53,9.15
Wukari,86,NG,1640318734,28,7.85,9.7833,74.19,8.34
Kadaya,22,RU,1640318735,78,50.9327,119.2911,-17.86,3.06
Sur,1,OM,1640318737,52,22.5667,59.5289,75.56,5.84
Victor Harbor,11,AU,1640318738,74,-35.5667,138.6167,91.18,3.0
Forsytheganj,93,BY,1640318739,81,52.6333,29.7333,18.88,14.38
Mehrān,100,IR,1640318740,55,33.1222,46.1646,51.28,0.89
Lompoc,100,US,1640318457,80,34.6391,-120.4579,58.12,11.99
Necochea,0,AR,1640318463,65,-38.5473,-58.7368,74.03,18.32
Iskateley,26,RU,1640318743,91,67.6803,53.1512,-9.65,12.8
Marovoay,44,MG,1640318745,73,-16.1,46.6333,86.14,1.34
Khujner,20,IN,1640318746,35,23.7833,76.6,68.63,4.63
Conde,40,BR,1640318747,89,-7.2597,-34.9075,78.26,6.91
Provideniya,90,RU,1640318748,78,64.3833,-173.3,1.51,17.9
Atambua,99,ID,1640318749,75,-9.1061,124.8925,79.02,3.18
Mananara,58,MG,1640318751,71,-16.1667,49.7667,82.94,2.8
Coyhaique,56,CL,1640318752,58,-45.5752,-72.0662,59.61,2.3
At-Bashi,100,KG,1640318753,73,41.1702,75.8106,15.46,2.37
Westport,90,US,1640318754,55,41.1415,-73.3579,33.98,4.0
Mnogovershinnyy,55,RU,1640318756,86,53.9353,139.9242,-13.67,4.5
Kavaratti,38,IN,1640318649,67,10.5669,72.642,79.3,5.32
Portree,100,GB,1640318760,94,57.4129,-6.1942,42.85,6.53
Am Timan,4,TD,1640318761,27,11.0297,20.2827,72.0,5.57
Santa Isabel,40,BR,1640318762,90,-23.3156,-46.2214,68.65,1.14
Rosa Zarate,100,EC,1640318763,96,0.3333,-79.4667,73.11,1.59
Dubrovnik,75,HR,1640318764,87,42.6481,18.0922,47.84,10.36
Eirunepé,97,BR,1640318766,98,-6.6603,-69.8736,74.17,1.28
Varkaus,75,FI,1640318767,94,62.3153,27.873,8.71,5.59
Zhangaözen,61,KZ,1640318768,72,43.3,52.8,21.69,9.89
Nhulunbuy,90,AU,1640318769,78,-12.2333,136.7667,83.01,11.5
Pozo Colorado,2,PY,1640318770,29,-23.4923,-58.7972,78.42,7.54
Vitim,44,RU,1640318771,91,59.4511,112.5578,-20.0,4.99
Vinh Long,86,VN,1640318773,66,10.25,105.9667,82.38,6.49
Mudgee,75,AU,1640318774,42,-32.5943,149.5871,86.79,8.05
Palauig,7,PH,1640318775,70,15.435,119.9045,83.37,5.75
Biak,100,ID,1640318776,63,-0.9131,122.8766,84.18,1.57
Sandy Bay,0,AU,1640318778,44,-42.913,147.3532,80.06,1.99
Nuquí,42,CO,1640318780,90,5.7125,-77.2708,76.28,4.18
Bonfim,92,BR,1640318781,87,3.0833,-59.95,76.23,3.89
Jashpurnagar,0,IN,1640318782,30,22.9,84.15,65.39,1.61
Bandrele,0,YT,1640318783,89,-12.9067,45.1914,80.35,4.61
North Bend,90,US,1640318784,90,43.4065,-124.2243,44.51,9.22
Korla,0,CN,1640318786,57,41.7597,86.1469,29.66,4.72
Ola,100,RU,1640318787,70,59.5833,151.2833,0.14,15.77
Aksarayskiy,10,RU,1640318788,76,46.7924,48.0119,8.55,6.13
Garissa,100,KE,1640318789,87,-0.4536,39.6401,76.37,5.88
San Patricio,14,US,1640318790,76,28.017,-97.5169,69.69,16.58
Kumul,0,CN,1640318713,47,42.8,93.45,28.96,2.42
Nizwá,12,OM,1640318681,36,22.9333,57.5333,72.07,0.56
Port Hardy,100,CA,1640318594,85,50.6996,-127.4199,34.75,19.73
Serenje,100,ZM,1640318795,91,-13.2325,30.2352,64.13,1.74
Nadym,85,RU,1640318796,93,65.5333,72.5167,-1.82,8.7
Dalvik,100,IS,1640318797,77,65.9702,-18.5286,26.26,7.74
Sechura,76,PE,1640318798,79,-5.5569,-80.8222,69.55,10.13
Kiruna,90,SE,1640318799,86,67.8557,20.2251,14.92,14.97
Deputatsky,67,RU,1640318801,100,69.3,139.9,-36.85,4.0
Ribas do Rio Pardo,91,BR,1640318802,91,-20.4431,-53.7592,72.07,3.78
Paratinga,100,BR,1640318803,98,-12.6906,-43.1842,70.43,4.61
Marand,100,IR,1640318804,90,38.4329,45.7749,25.14,4.18
Caucaia,20,BR,1640318805,76,-3.7361,-38.6531,81.03,5.75
Namatanai,92,PG,1640318808,69,-3.6667,152.4333,85.57,13.22
Salta,97,AR,1640318809,92,-24.7859,-65.4117,66.49,1.01
Bambari,83,CF,1640318810,34,5.768,20.6757,76.42,3.62
Waingapu,80,ID,1640318811,63,-9.6567,120.2641,88.66,10.89
Mahébourg,75,MU,1640318812,70,-20.4081,57.7,84.49,6.91
Yatou,100,CN,1640318814,64,37.15,122.3833,25.93,25.34
Atar,49,MR,1640318815,26,20.5169,-13.0499,68.09,9.13
Bherāmāra,0,BD,1640318816,45,24.0232,88.9925,71.26,4.68
Nokaneng,42,BW,1640318817,55,-19.6667,22.2667,72.01,6.29
São João da Barra,100,BR,1640318818,78,-21.6403,-41.0511,71.51,15.08
Saint-Augustin,100,CA,1640318820,94,51.226,-58.6502,27.12,23.58
Bambanglipuro,81,ID,1640318821,66,-7.95,110.2833,85.32,7.78
Yangambi,100,CD,1640318822,90,0.8102,24.4336,71.4,0.56
Igarka,100,RU,1640318823,94,67.4667,86.5833,3.7,13.78
Longkou,100,CN,1640318824,70,37.6508,120.3286,24.66,30.38
Salalah,20,OM,1640318826,52,17.0151,54.0924,69.89,3.44
Letlhakeng,1,BW,1640318827,39,-24.0944,25.0298,64.89,4.14
Emilio Carranza,44,MX,1640318828,82,19.9711,-96.6114,70.36,9.73
Harrison,1,US,1640318829,88,30.4091,-89.0436,59.05,0.0
Marquette,84,US,1640318830,93,46.5333,-87.6335,29.82,5.5
Shuangcheng,59,CN,1640318832,76,45.35,126.2833,-10.21,8.01
Agvali,32,RU,1640318833,85,42.5385,46.1197,7.84,7.34
Ensley,1,US,1640318834,84,30.5188,-87.2728,60.53,0.0
Tharād,21,IN,1640318835,45,24.3961,71.6267,72.34,3.15
Saint-Pierre,0,RE,1640318836,65,-21.3393,55.4781,84.18,3.44
Liwale,74,TZ,1640318838,94,-9.7667,37.9333,70.07,2.15
Payo,92,ID,1640318839,67,-3.7508,103.6372,85.96,3.18
Port Antonio,37,JM,1640318840,85,18.18,-76.4612,72.91,7.72
Zorritos,73,PE,1640318841,76,-3.6805,-80.6782,73.22,8.66
San Ignacio,0,BZ,1640318842,94,17.1561,-89.0714,66.34,0.0
Arapongas,63,BR,1640318843,73,-23.4194,-51.4244,65.07,14.14
Esperance,18,AU,1640318845,55,-33.8667,121.9,73.6,12.8
Surat Thani,17,TH,1640318846,100,9.1667,99.25,85.1,6.44
Saint Anthony,40,US,1640318847,84,45.0205,-93.218,33.15,3.0
Lagoa,100,PT,1640318848,90,39.05,-27.9833,60.01,35.93
Usinsk,15,RU,1640318849,95,65.9939,57.5281,-12.69,9.89
Enshi,93,CN,1640318851,64,30.3,109.4833,55.8,1.07
Soyo,99,AO,1640318852,86,-6.1349,12.3689,77.61,2.26
Nicoya,70,CR,1640318853,73,10.1483,-85.452,69.35,9.89
Hay River,99,CA,1640318854,98,60.8156,-115.7999,-4.25,2.48
Jinka,88,ET,1640318855,71,5.65,36.65,63.52,2.13
Nizhniy Odes,14,RU,1640318857,96,63.6445,54.856,-12.01,7.0
Sitka,1,US,1640318858,37,57.0531,-135.33,31.89,5.75
Aurillac,90,FR,1640318859,88,44.9167,2.45,43.05,8.05
Quatre Cocos,43,MU,1640318860,74,-20.2078,57.7625,84.31,9.66
Kirillov,100,RU,1640318861,90,59.863,38.3813,17.53,13.09
Drayton Valley,100,CA,1640318863,89,53.2168,-114.9854,0.64,11.79
Budhlāda,0,IN,1640318864,31,29.9333,75.5667,60.12,5.26
Ruwi,2,OM,1640318865,46,23.5996,58.5507,69.49,1.52
Peniche,91,PT,1640318866,92,39.3558,-9.3811,57.29,14.58
Gamboula,75,CF,1640318867,36,4.1178,15.1393,72.7,0.74
Bhisho,90,ZA,1640318869,94,-32.8472,27.4422,54.7,3.91
Charters Towers,20,AU,1640318870,22,-20.1,146.2667,99.59,4.74
Bayshore Gardens,1,US,1640318871,86,27.4253,-82.5904,58.98,6.91
Avera,0,US,1640318872,53,33.194,-82.5271,44.53,5.66
Sergeevka,23,KZ,1640318873,88,53.88,67.4158,-0.22,19.01
Biloela,74,AU,1640318874,33,-24.4167,150.5,93.16,2.62
Tabou,35,CI,1640318876,82,4.423,-7.3528,79.27,5.41
Srednekolymsk,100,RU,1640318877,99,67.45,153.6833,-30.21,4.0
Batemans Bay,88,AU,1640318878,72,-35.7167,150.1833,87.19,7.2
Nioro,99,GM,1640318879,20,13.35,-15.75,74.08,5.12
Bonavista,44,CA,1640318881,70,48.6499,-53.1147,29.12,35.61
Gouyave,42,GD,1640318882,83,12.1646,-61.7296,78.39,13.62
Xinzhi,45,CN,1640318884,57,36.4989,111.7047,37.65,4.88
Chancay,63,PE,1640318885,89,-11.5714,-77.2672,68.56,6.62
Koutiala,93,ML,1640318886,18,12.3917,-5.4642,70.14,8.59
Eyl,80,SO,1640318887,74,7.9803,49.8164,73.2,13.85
Doha,0,QA,1640318602,77,25.2867,51.5333,64.38,6.91
Bowral,77,AU,1640318889,62,-34.4667,150.4167,70.14,7.38
San Marcos,90,US,1640318891,88,33.1434,-117.1661,58.48,5.99
Megion,100,RU,1640318892,95,61.0296,76.1136,10.42,16.22
Chase,100,CA,1640318893,96,50.8165,-119.6857,22.32,1.7
Harper,57,LR,1640318894,80,4.375,-7.7169,79.79,6.02
Semikarakorsk,10,RU,1640318895,92,47.5194,40.8112,-1.39,3.69
St. Pete Beach,1,US,1640318896,83,27.7253,-82.7412,60.26,9.22
Strezhevoy,100,RU,1640318899,94,60.7333,77.5889,10.38,13.22
Rosario,0,AR,1640318900,64,-32.9468,-60.6393,74.07,1.99
Borivka,100,UA,1640318901,82,50.4564,29.546,12.07,14.16
Beyneu,58,KZ,1640318903,60,45.3167,55.2,20.37,4.94
Sovetskiy,100,RU,1640318905,93,61.3614,63.5842,8.19,5.55
Shubarshi,84,KZ,1640318907,81,48.5872,57.1869,11.37,6.26
Raja,79,SS,1640318909,24,8.4596,25.678,67.23,3.6
Brae,100,GB,1640318787,56,60.3964,-1.353,39.11,23.06
Puerto Rondón,100,CO,1640318911,77,6.2805,-71.1,77.45,4.74
College,40,US,1640318912,73,64.8569,-147.8028,2.86,4.61
Poum,12,NC,1640318913,76,-20.2333,164.0167,81.41,7.74
Bocas del Toro,56,PA,1640318914,81,9.3333,-82.25,77.45,12.26
Canutama,100,BR,1640318916,97,-6.5339,-64.3831,75.29,1.74
Swan River,100,CA,1640318651,92,52.1058,-101.2676,12.45,6.69
Kargopol',100,RU,1640318918,94,61.5071,38.9456,19.76,11.7
Nemuro,22,JP,1640318919,53,43.3236,145.575,27.59,15.7
Murray,90,US,1640318920,89,40.6669,-111.888,46.62,7.0
Khovd,0,MN,1640318922,67,48.0056,91.6419,10.0,1.97
Bavleny,100,RU,1640318923,93,56.4,39.56,5.52,14.88
Tigil',100,RU,1640318924,96,57.8,158.6667,2.23,1.83
Prince Rupert,98,CA,1640318711,84,54.3161,-130.3201,23.85,5.06
Tsabong,4,BW,1640318926,44,-26.0217,22.401,69.42,5.03
Belmonte,100,BR,1640318928,90,-15.8631,-38.8828,72.1,14.92
Galle,78,LK,1640318761,75,6.0367,80.217,79.63,3.06
Don Luan,95,VN,1640318930,68,11.5333,106.9167,83.37,3.22
Mayor Pablo Lagerenza,94,PY,1640318932,89,-19.9309,-60.7718,73.26,5.32
Roald,40,NO,1640318933,93,62.5833,6.1333,30.0,11.5
Bantay,6,PH,1640318934,61,17.5847,120.3892,85.75,5.28
Arrondissement de Mont-de-Marsan,0,FR,1640318935,97,44.0,-0.6667,57.38,4.61
Petrovac,100,RS,1640318936,61,44.3769,21.4192,35.58,8.84
Stokmarknes,100,NO,1640318938,68,68.5646,14.9108,26.49,22.19
Port Augusta,0,AU,1640318940,31,-32.5,137.7667,98.71,21.74
Nazaré,100,BR,1640318941,97,-13.035,-39.0144,74.64,2.82
Fort Nelson,73,CA,1640318760,100,58.8053,-122.7002,-21.77,3.24
Hūn,18,LY,1640318943,36,29.1268,15.9477,50.68,1.79
Arrondissement de Foix,100,FR,1640318945,84,42.8333,1.5833,42.75,7.78
Lenguazaque,100,CO,1640318946,95,5.3071,-73.7115,52.57,0.27
Tornio,90,FI,1640318947,80,65.8481,24.1466,15.82,16.33
Fairbanks,1,US,1640318702,73,64.8378,-147.7164,-5.91,0.0
Luganville,73,VU,1640318949,80,-15.5333,167.1667,81.79,8.63
Petropavlovsk-Kamchatskiy,20,RU,1640318950,58,53.0452,158.6483,23.59,4.47
Digha,0,IN,1640318952,43,21.6833,87.55,71.38,4.97
Maxixe,1,MZ,1640318953,90,-23.8597,35.3472,76.51,4.74
Mount Darwin,84,ZW,1640318954,82,-16.7725,31.5838,70.29,2.13
Kieta,100,PG,1640318955,76,-6.2167,155.6333,85.15,4.9
Winchester,100,GB,1640318695,99,51.0651,-1.3187,49.51,4.76
Sokol'skoye,100,RU,1640318958,89,57.1412,43.1589,8.78,15.17
Bay Roberts,65,CA,1640318959,79,47.5999,-53.2648,32.32,17.0
Jiuquan,0,CN,1640318960,56,39.7432,98.5174,22.73,3.49
Panzhihua,36,CN,1640318961,64,26.5851,101.7128,57.0,2.21
Cardoso,99,BR,1640318962,88,-20.0819,-49.9142,72.1,6.98
Krasnosel'kup,86,RU,1640318964,98,65.7,82.4667,-2.15,9.55
